IATA,Airport name,Country,City,lat,long,code,,,,
ALL,Riviera Villanova d'Albenga International Airport,Italy,Villanova d'Albenga (SV),44.050598,8.12743,IT,,,,
ALM,Alamogordo White Sands Regional Airport,United States of America,Alamogordo,32.837818,-105.993149,US,,,,
ALN,St Louis Regional Airport,United States of America,Alton/St Louis,38.89030075069999,-90.04599762,US,,,,
ALO,Waterloo Regional Airport,United States of America,Waterloo,42.557098388671875,-92.40029907,US,,,,
ALP,Aleppo International Airport,Syria,Aleppo,36.180698,37.2244,SY,,,,
ALQ,Alegrete Novo Airport,Brazil,Alegrete,-29.811595,-55.894707,BR,,,,
ALR,Alexandra Aerodrome,New Zealand,Alexandra,-45.210495,169.371113,NZ,,,,
ALS,San Luis Valley Regional Airport/Bergman Field,United States of America,Alamosa,37.434898,-105.866997,US,,,,
ALT,Alenquer Municipal Airport,Brazil,Alenquer,-1.917,-54.7231,BR,,,,
ALU,Caluula Airport,Somalia,Caluula,11.9582,50.748,SO,,,,
ALW,Walla Walla Regional Airport,United States of America,Walla Walla,46.09489822,-118.288002,US,,,,
ALX,Thomas C Russell Field,United States of America,Alexander City,32.914699554399995,-85.96299744,US,,,,
AMA,Rick Husband Amarillo International Airport,United States of America,Amarillo,35.219398,-101.706001,US,,,,
AMC,Am Timan Airport,Chad,Am Timan,11.0340004,20.274000167799997,TD,,,,
AMD,Sardar Vallabh Bhai Patel International Airport,India,Ahmedabad,23.0772,72.634697,IN,,,,
AME,Alto Molocue Airport,Mozambique,Alto Molocue,-15.61027778,37.68138889,MZ,,,,
AMH,Arba Minch Airport,Ethiopia,Arba Minch,6.03939,37.5905,ET,,,,
AMI,Selaparang Airport,Indonesia,Mataram,-8.56056,116.095097,ID,,,,
AMJ,Cirilo Queiróz Airport,Brazil,Almenara,-16.165579,-40.684024,BR,,,,
AMK,Animas Air Park,United States of America,Durango,37.20309829711914,-107.8679962,US,,,,
AMM,Queen Alia International Airport,Jordan,Amman,31.72260094,35.99319839,JO,,,,
AMN,Gratiot Community Airport,United States of America,Alma,43.32210159,-84.68800354,US,,,,
AMO,Mao Airport,Chad,Mao,14.1456,15.3144,TD,,,,
AMP,Ampanihy Airport,Madagascar,Ampanihy,-24.699699,44.7342,MG,,,,
AMQ,Pattimura International Airport,Indonesia,Ambon,-3.71026,128.089005,ID,,,,
AMS,Amsterdam Airport Schiphol,Netherlands,Amsterdam,52.308601,4.76389,NL,,,,
AMU,Amanab Airport,Papua New Guinea,Amanab,-3.586,141.2143333,PG,,,,
AMV,Amderma Airport,Russia,Amderma,69.76329803466797,61.556400299072266,RU,,,,
AMW,Ames Municipal Airport,United States of America,Ames,41.992001,-93.621803,US,,,,
AMZ,Ardmore Airport,New Zealand,Manurewa,34.977901,-86.884697,US,,,,
ANA,Angama Airport,Kenya,Maasai Mara,-1.27156,34.955513,KE,,,,
ANB,Anniston Regional Airport,United States of America,Anniston,33.5882,-85.8581,US,,,,
ANC,Ted Stevens Anchorage International Airport,United States of America,Anchorage,61.179004,-149.992561,US,,,,
AND,Anderson Regional Airport,United States of America,Anderson,34.49459839,-82.70939636,US,,,,
ANE,Angers-Loire Airport,France,Marcé,47.560299,-0.312222,FR,,,,
ANF,Andrés Sabella Gálvez International Airport,Chile,Antofagasta,-23.444501,-70.445099,CL,,,,
ANG,Angoulême-Brie-Champniers Airport,France,Angoulême/Brie/Champniers,45.729198,0.221456,FR,,,,
ANI,Aniak Airport,United States of America,Aniak,61.581600189208984,-159.5429993,US,,,,
ANJ,Zanaga Airport,Republic of the Congo,Zanaga,-2.85,13.817,CG,,,,
ANK,Etimesgut Air Base,Turkey,Ankara,39.94979858,32.68859863,TR,,,,
ANL,Andulo Airport,Angola,Andulo,-11.4723,16.710899,AO,,,,
ANM,Antsirabe Airport,Madagascar,Antsirabe,-19.839221,47.063713,MG,,,,
ANN,Annette Island Airport,United States of America,Metlakatla,55.037663,-131.572609,US,,,,
ANO,Angoche Airport,Mozambique,Angoche,-16.18187,39.945217,MZ,,,,
ANP,Lee Airport,United States of America,Annapolis,38.942902,-76.568398,US,,,,
ANQ,Tri State Steuben County Airport,United States of America,Angola,41.639702,-85.083504,US,,,,
ANR,Antwerp International Airport (Deurne),Belgium,Antwerp,51.190667,4.463153,BE,,,,
ANS,Andahuaylas Airport,Peru,Andahuaylas,-13.70639992,-73.35040283,PE,,,,
ANU,V C Bird International Airport,Antigua and Barbuda,Osbourn,17.1367,-61.792702,AG,,,,
ANV,Anvik Airport,United States of America,Anvik,62.646702,-160.190994,US,,,,
ANW,Ainsworth Regional Airport,United States of America,Ainsworth,42.579201,-99.992995,US,,,,
ANX,And�ya Airport,Norway,Andenes,69.292503,16.144199,NO,,,,
ANY,Anthony Municipal Airport,United States of America,Anthony,37.158501,-98.079597,US,,,,
ANZ,Angus Downs Airport,Australia,Angus Downs Station,-25.0325,132.2748,AU,,,,
AOC,Leipzig–Altenburg Airport,Germany,Nobitz,50.981945,12.506389,DE,,,,
AOD,Abou-Deïa Airport,Chad,Abou-Deïa,11.4773,19.2874,TD,,,,
AOE,Anadolu Airport,Turkey,Eskişehir,39.809898,30.5194,TR,,,,
AOG,Anshan Teng'ao Airport / Anshan Air Base,China,Anshan,41.105301,122.853996,CN,,,,
AOH,Lima Allen County Airport,United States of America,Lima,40.706902,-84.026703,US,,,,
AOI,Marche Airport,Italy,Falconara Marittima (AN),43.616299,13.3623,IT,,,,
AOJ,Aomori Airport,Japan,Aomori,40.73469924926758,140.6909942626953,JP,,,,
